"","plotID","rich"
"634","ORNL_041","116"
"635","ORNL_009","157"
"636","ORNL_007","120"
"637","ORNL_017","48"
"638","ORNL_014","128"
"639","ORNL_029","201"
"640","ORNL_049","118"
"641","ORNL_046","71"
"642","ORNL_067","63"
"643","ORNL_068","81"
"644","ORNL_053","84"
"645","ORNL_066","89"
"646","DELA_040","125"
"647","DELA_017","147"
"648","DELA_004","148"
"649","DELA_037","149"
"650","DELA_012","116"
"651","DELA_015","124"
"652","DELA_014","123"
"653","DELA_029","139"
"654","DELA_006","157"
"655","DELA_002","107"
"656","DELA_009","96"
"657","DELA_003","147"
"658","DELA_011","89"
"659","DELA_005","140"
"660","DELA_023","99"
"661","DELA_020","120"
"662","DELA_027","135"
"663","DELA_010","110"
"664","DELA_021","121"
"665","DELA_030","125"
"666","DELA_022","97"
"667","DELA_007","95"
"668","DELA_019","32"
"669","DELA_028","120"
"670","DELA_013","110"
"671","DELA_026","156"
"672","DELA_018","145"
"673","DELA_008","87"
"674","DELA_025","151"
"675","DELA_024","39"
"676","DELA_001","131"
"677","DELA_016","175"
"678","DELA_038","138"
"679","DELA_061","64"
"680","DELA_060","98"
"681","DELA_062","69"
"682","DELA_063","81"
"683","LENO_063","135"
"684","LENO_061","152"
"685","LENO_062","131"
"686","LENO_014","112"
"687","LENO_002","157"
"688","LENO_003","87"
"689","LENO_018","78"
"690","LENO_013","110"
"691","LENO_006","96"
"692","LENO_010","102"
"693","LENO_008","121"
"694","LENO_012","107"
"695","LENO_024","96"
"696","LENO_004","125"
"697","LENO_009","101"
"698","LENO_023","116"
"699","LENO_028","122"
"700","LENO_011","135"
"701","LENO_022","73"
"702","LENO_007","104"
"703","LENO_015","83"
"704","LENO_027","103"
"705","LENO_001","117"
"706","LENO_026","58"
"707","LENO_029","130"
"708","LENO_019","130"
"709","LENO_020","102"
"710","LENO_030","93"
"711","LENO_025","31"
"712","LENO_021","137"
"713","LENO_016","119"
"714","LENO_005","113"
"715","LENO_017","134"
"716","TALL_005","255"
"717","TALL_001","104"
"718","TALL_002","191"
"719","TALL_003","243"
"720","TALL_051","230"
"721","TALL_012","128"
"722","TALL_018","96"
"723","TALL_006","250"
"724","TALL_007","144"
"725","TALL_008","151"
"726","TALL_009","268"
"727","TALL_004","173"
"728","TALL_010","199"
"729","TALL_032","204"
"730","TALL_011","194"
"731","TALL_013","141"
"732","TALL_016","145"
"733","TALL_015","110"
"734","TALL_020","150"
"735","TALL_019","89"
"736","TALL_017","141"
"737","TALL_031","178"
"738","TALL_027","166"
"739","TALL_024","160"
"740","TALL_023","157"
"741","TALL_044","209"
"742","TALL_054","126"
"743","TALL_026","149"
"744","TALL_030","112"
"745","TALL_021","111"
"746","TALL_025","151"
"747","TALL_022","143"
"748","TALL_064","167"
"749","TALL_029","163"
"750","DCFS_004","123"
"751","DCFS_006","94"
"752","DCFS_014","77"
"753","DCFS_020","84"
"754","DCFS_007","140"
"755","DCFS_012","77"
"756","DCFS_016","99"
"757","DCFS_001","118"
"758","DCFS_015","88"
"759","DCFS_017","94"
"760","DCFS_008","112"
"761","DCFS_025","91"
"762","DCFS_022","68"
"763","DCFS_028","116"
"764","DCFS_030","85"
"765","DCFS_024","79"
"766","DCFS_003","123"
"767","DCFS_029","76"
"768","DCFS_019","45"
"769","DCFS_065","87"
"770","DCFS_026","89"
"771","DCFS_011","56"
"772","DCFS_005","90"
"773","DCFS_062","146"
"774","DCFS_027","91"
"775","DCFS_013","124"
"776","DCFS_018","89"
