"","plotID","d15N","d13C","nitrogenPercent","carbonPercent","CNratio"
"88","BLAN_056",1.9,-26,0.91,39.21,43.1
"89","BLAN_057",-0.2,-29.025,0.8025,47.2725,64.8
"90","BLAN_059",3.9,-21.1,1.24,44.5,35.9
"91","BLAN_060",2.3,-13,1.835,43.84,25.7
"92","BLAN_063",-3.03333333333333,-28.5,2.09333333333333,46.58,24
"93","BLAN_064",2.8,-22.3,1.34,46.82,34.9
"94","BONA_070",-1.98333333333333,-28.45,0.718333333333333,49.9233333333333,71.4833333333333
"95","BONA_071",-2.01666666666667,-27.7,0.756666666666667,51.2616666666667,68.7166666666667
"96","BONA_072",-0.0714285714285714,-28.9,0.837142857142857,50.2414285714286,63.6142857142857
"97","BONA_073",-1.8,-28.75,0.87,48.8366666666667,56.3166666666667
"98","BONA_074",-0.328571428571429,-28.6,0.854285714285714,48.6585714285714,58.7857142857143
"99","BONA_075",-1.3,-28.95,1.12166666666667,50.1383333333333,46.3833333333333
"100","BONA_076",-1.65,-28.4833333333333,0.746666666666667,50.3433333333333,70.6166666666667
"101","BONA_077",-1.42857142857143,-28.8714285714286,0.96,49.1114285714286,52.6285714285714
"102","BONA_078",-1.26666666666667,-28.95,0.938333333333333,49.8216666666667,58.05
"103","BONA_079",-1.05714285714286,-29.5428571428571,1.02285714285714,50.2714285714286,53.1
"104","BONA_080",-3.63333333333333,-28.2,0.678333333333333,50.085,78.5
"105","BONA_081",-3.78333333333333,-28.2833333333333,0.66,50.115,79.2833333333333
"106","BONA_082",-1.51428571428571,-29.4,0.947142857142857,49.41,55.1
"107","BONA_083",-0.816666666666667,-29.0666666666667,0.813333333333333,48.3416666666667,59.95
"108","BONA_084",0.4,-29.5428571428571,1.01142857142857,47.2928571428571,52.4714285714286
"109","BONA_086",-1.16666666666667,-28.8333333333333,0.85,47.015,56.35
"110","BONA_087",-1.46666666666667,-30.3166666666667,0.863333333333333,49.8216666666667,63.2
"111","BONA_088",-0.6,-29.6142857142857,0.774285714285714,48.7214285714286,66.6428571428571
"112","BONA_089",-0.966666666666667,-29.3833333333333,0.825,49.2433333333333,62.7
"113","BONA_093",0.142857142857143,-28.3142857142857,0.861428571428571,49.7514285714286,61.7
"114","CLBJ_001",-2.85,-17.85,0.8025,44.74,57.475
"115","CLBJ_002",-0.4,-27.6,0.81,42.62,55.2666666666667
"116","CLBJ_003",-0.466666666666667,-26.5333333333333,0.94,42.9533333333333,47.2333333333333
"117","CLBJ_004",0.15,-27.2,1.08,44.125,42.65
"118","CLBJ_005",-1.1,-28.9333333333333,1.15,45.9166666666667,43.5333333333333
"119","CLBJ_006",-1.26666666666667,-22.8333333333333,0.866666666666667,44.13,52.7
"120","CLBJ_007",-0.0333333333333333,-27.8666666666667,0.863333333333333,45.75,57.7
"121","CLBJ_008",-1.875,-28.825,0.77,46.565,62.975
"122","CLBJ_009",0.333333333333333,-27.4666666666667,1.31333333333333,43.5,39.7333333333333
"123","CLBJ_010",-1.53333333333333,-22.8333333333333,0.733333333333333,44.9233333333333,63.1333333333333
"124","CLBJ_011",-1.725,-28.25,0.95,46.36,50.225
"125","CLBJ_012",-1.56666666666667,-28.2333333333333,1.10333333333333,45.7966666666667,41.3333333333333
"126","CLBJ_013",-2,-24.5,0.82,46.8333333333333,59.1
"127","CLBJ_014",-0.133333333333333,-24.1666666666667,0.72,46.0466666666667,68.4333333333333
"128","CLBJ_015",-1,-28.2666666666667,0.676666666666667,47.2166666666667,72.4333333333333
"129","CLBJ_016",-0.933333333333333,-27.3,0.833333333333333,43.26,56.1666666666667
"130","CLBJ_017",-1,-28.9,0.94,44.5233333333333,51.1333333333333
"131","CLBJ_018",-2.175,-26.325,0.615,47.31,85.6
"132","CLBJ_019",0.0666666666666667,-27.8,1.28333333333333,42.9233333333333,33.8
"133","CLBJ_020",-2.85,-16.2,0.705,40.855,58.05
"134","CLBJ_021",-0.866666666666667,-27.8,0.726666666666667,48.3333333333333,68
"135","CLBJ_022",-2.75,-28.9,1.0075,43.735,54.3
"136","CLBJ_023",-5.26666666666667,-21.2,0.69,44.1666666666667,71.8333333333333
"137","CLBJ_024",-2.83333333333333,-25.3666666666667,0.743333333333333,42.6966666666667,60.1333333333333
"138","CLBJ_025",-2.85,-27.75,0.94,44.88,48.65
"139","CLBJ_026",-3.7,-22.7666666666667,0.743333333333333,44.0033333333333,62.8666666666667
"140","CLBJ_027",-4.86666666666667,-28.4666666666667,0.8,46.51,63.7666666666667
"141","CLBJ_028",-2.03333333333333,-28.5666666666667,0.89,44.6233333333333,56
"142","CLBJ_029",-1.75,-28.35,0.8125,45.0675,57.875
"143","CLBJ_030",-1.66666666666667,-22.6666666666667,1.02333333333333,43.2433333333333,44.5666666666667
"144","CPER_045",0.8,-18,1.38,46.08,33.3
"145","CPER_046",2.1,-23.2,1.22,47.63,39.25
"146","CPER_047",0.1,-23.4,1.46,42.74,29.2
"147","CPER_048",1.55,-23.05,1.385,46.865,35.5
"148","CPER_049",-0.9,-22.7,1.4525,43.5575,30.275
"149","CPER_050",1.8,-20.8,1.3,47.67,36.6
"150","CPER_051",-0.0666666666666667,-21.3333333333333,1.14333333333333,46.24,40.7
"151","CPER_052",-0.2,-21.65,1.295,46.995,36.8
"152","CPER_053",2.35,-23.85,1.82,40.835,24.9
"153","CPER_054",0.65,-20.05,1.165,34.35,29.9
"154","CPER_055",3.46666666666667,-24.6666666666667,1.44333333333333,47.0433333333333,33.1333333333333
"155","CPER_056",0.4,-18.1,1.26,48.55,38.4
"156","CPER_057",-0.6,-22.3,1.32,46.6,35.4
"157","CPER_058",1.63333333333333,-26.2333333333333,1.44333333333333,47.6,33.1666666666667
"158","CPER_059",4.16666666666667,-23.9666666666667,1.7,46.56,27.9
"159","CPER_060",0.2,-14.8,1.08,47.13,43.8
"160","CPER_061",2.03333333333333,-24.6,1.23666666666667,46.3633333333333,37.6
"161","CPER_062",1.45,-21.7,1.09,46.28,44.05
"162","CPER_063",2.2,-19.5,1.29,48,37.2
"163","CPER_064",1.66666666666667,-24.1,1.32,43.96,33.2666666666667
"164","CPER_065",1.55,-24.85,1.225,44.235,36.5
"165","CPER_066",2.33333333333333,-23.4666666666667,1.3,43.5566666666667,34.7
"166","CPER_067",0.75,-24.4,1.095,46.75,44.05
"167","CPER_068",1.7,-23.9,1.43,46.27,32.3
"168","CPER_069",1.83333333333333,-25.8666666666667,1.05666666666667,45.8733333333333,45.9
"169","CPER_070",-0.3,-26.1666666666667,1.1,44.7766666666667,43.3
"170","CPER_071",1.4,-25.3,1.15666666666667,44.9666666666667,41.0333333333333
"171","CPER_072",-1.5,-20.1,0.9,43.52,48.6
"172","CPER_073",3.05,-24.5,1.625,46.91,31.1
"173","CPER_074",6.23333333333333,-25.0666666666667,1.53333333333333,46.4233333333333,32.3333333333333
"174","DCFS_061",3.2,-26.825,0.5175,44.93,101.775
"175","DCFS_062",0.6,-26.9333333333333,0.736666666666667,47.07,65.1
"176","DCFS_063",0.3,-28.0333333333333,0.716666666666667,46.6433333333333,70.2
"177","DCFS_064",0.533333333333333,-28.9666666666667,0.706666666666667,45.7533333333333,66.9
"178","DCFS_065",1.4,-27.0333333333333,0.913333333333333,46.6633333333333,51.8666666666667
"179","DCFS_066",0.766666666666667,-28.5666666666667,0.646666666666667,45.48,73.9333333333333
"180","DCFS_067",-1.2,-26.125,0.7575,47.78,66.625
"181","DCFS_068",0.7,-26.4333333333333,1.19333333333333,42.9233333333333,40.8333333333333
"182","DCFS_069",0.5,-28.1666666666667,0.83,48.1333333333333,57.9666666666667
